country,year,prct_access_elec,prct_renew_prod,prct_renew_cons
Afghanistan,2015,71.5,2.83229014034404,17.7
Afghanistan,2016,97.7,3.19005850365957,20.2
Afghanistan,2017,97.7,3.16865225907967,19.5
Afghanistan,2018,93.4,3.47404347045087,18.3
Afghanistan,2019,97.7,3.82453122312059,18.9
Afghanistan,2020,97.7,5.43252738169043,18.2
Afghanistan,2021,97.7,6.57829189006628,20
Afghanistan,2022,85.3,..,20
Afghanistan,2023,85.3,..,..
Afghanistan,2024,..,..,..
Africa Eastern and Southern,2015,33.9222756622758,2.56892369207893,61.6702780479896
Africa Eastern and Southern,2016,38.8595976583714,2.46989096363573,61.8228841937413
Africa Eastern and Southern,2017,40.2237441730368,3.78389814132683,61.4269497576408
Africa Eastern and Southern,2018,43.0350733507835,3.94859026174593,61.5875298317964
Africa Eastern and Southern,2019,44.390860533364,5.08754635514056,62.6907096127666
Africa Eastern and Southern,2020,46.2823709455637,4.49718013313305,65.7823798017466
Africa Eastern and Southern,2021,48.1272110400485,5.30096305358396,..
Africa Eastern and Southern,2022,48.8012579607658,..,..
Africa Eastern and Southern,2023,50.6675157944854,..,..
Africa Eastern and Southern,2024,..,..,..
Africa Western and Central,2015,46.8624182524845,-0.0940054551520296,76.181670524591
Africa Western and Central,2016,51.0451271925992,-0.365331328745162,75.7968398295924
Africa Western and Central,2017,48.9007280475057,0.257857000181396,76.1016805879549
Africa Western and Central,2018,51.3358293517534,0.429383435826366,75.4765777368905
Africa Western and Central,2019,51.2915769115352,0.63965511786657,75.0787881678252
Africa Western and Central,2020,51.8560428463068,0.534586327460861,75.846980103796
Africa Western and Central,2021,54.368598708444,0.515488314606178,..
Africa Western and Central,2022,55.6866829669796,..,..
Africa Western and Central,2023,57.0692665803595,..,..
Africa Western and Central,2024,..,..,..
Albania,2015,100,0.0242578456318914,38.5
Albania,2016,99.9,0.013621177075302,39.4
Albania,2017,99.9,0.0481661511268228,36.9
Albania,2018,100,0.017303869987139,37.8
Albania,2019,100,0.442758355743373,40.1
Albania,2020,100,0.624317711274233,44.4
Albania,2021,100,0.465409506806516,41.9
Albania,2022,100,..,..
Albania,2023,100,..,..
Albania,2024,..,..,..
Algeria,2015,99.4,0.263844879211605,0.1
Algeria,2016,99.4,0.299308421482598,0.1
Algeria,2017,99.5,0.761806414270304,0.1
Algeria,2018,99.6,0.866989290792168,0.2
Algeria,2019,99.5,0.843951622795182,0.2
Algeria,2020,99.7,1.00020213505148,0.1
Algeria,2021,99.8,0.900702658390912,0.1
Algeria,2022,100,..,..
Algeria,2023,100,..,..
Algeria,2024,..,..,..
American Samoa,2015,..,1.51931173347977,0.2
American Samoa,2016,..,1.83115895395776,0.2
American Samoa,2017,..,4.58748221906117,0.3
American Samoa,2018,..,4.7562283943259,0.3
American Samoa,2019,..,4.27379925222893,0.4
American Samoa,2020,..,3.87100430741329,0.4
American Samoa,2021,..,3.8725406815218,0.4
American Samoa,2022,..,..,0.4
American Samoa,2023,..,..,..
American Samoa,2024,..,..,..
Andorra,2015,100,14.0894504612916,19
Andorra,2016,100,14.4662921348315,18.9
Andorra,2017,100,16.3889928865593,18
Andorra,2018,100,14.9964412811388,17.6
Andorra,2019,100,13.5352061291499,17.2
Andorra,2020,100,14.2270018494417,20.9
Andorra,2021,100,17.4766624963911,18.4
Andorra,2022,100,..,18.7
Andorra,2023,100,..,..
Andorra,2024,..,..,..
Angola,2015,42,-2.02336352408399,47.1
Angola,2016,41.8,0.72992299229923,48.1
Angola,2017,42.9,12.9602383834621,52.5
Angola,2018,45.3,8.7914499847048,52.5
Angola,2019,45.6,13.4239253582139,51
Angola,2020,47,9.68738673432403,60.1
Angola,2021,48.2,18.8968817134301,52.9
Angola,2022,48.5,..,..
Angola,2023,51.1,..,..
Angola,2024,..,..,..
Antigua and Barbuda,2015,100,1.55200370627751,0.4
Antigua and Barbuda,2016,100,1.55959364715982,0.4
Antigua and Barbuda,2017,100,1.84609239021885,0.4
Antigua and Barbuda,2018,100,2.82657253950307,0.7
Antigua and Barbuda,2019,100,3.68746637977407,0.7
Antigua and Barbuda,2020,100,4.9484175555167,0.9
Antigua and Barbuda,2021,100,5.65579264886605,0.9
Antigua and Barbuda,2022,100,..,0.9
Antigua and Barbuda,2023,100,..,..
Antigua and Barbuda,2024,..,..,..
Arab World,2015,88.6616431398725,0.569675301315456,4.21496941236506
Arab World,2016,89.1861710572826,0.806960504574608,4.29077756155343
Arab World,2017,90.3510669396465,0.89461755774035,4.3581617981618
Arab World,2018,88.6898406472267,1.11925732140354,4.50425823426351
Arab World,2019,89.9289963083413,1.48131334552344,4.70633158020559
Arab World,2020,90.2417769685806,2.18655778496935,5.17060073389405
Arab World,2021,90.4340947732985,2.469037054181,..
Arab World,2022,90.6545179070033,..,..
Arab World,2023,91.6454299444509,..,..
Arab World,2024,..,..,..
Argentina,2015,99.7,-3.80281477101625,9.4
Argentina,2016,99.9,-2.9382760494498,9.4
Argentina,2017,100,-3.09416110516053,10.4
Argentina,2018,100,-2.69236376021798,10.5
Argentina,2019,100,1.5032854430153,10.7
Argentina,2020,100,6.17318136617456,9.8
Argentina,2021,100,9.06192102050542,9.2
Argentina,2022,100,..,..
Argentina,2023,100,..,..
Argentina,2024,..,..,..
Armenia,2015,100,0.0423131170662906,10.7
Armenia,2016,99.8,0.0323991797676008,13.2
Armenia,2017,99.7,0.0321957501609788,12.6
Armenia,2018,99.9,0.275959440379926,11.1
Armenia,2019,100,0.36202630550853,10.3
Armenia,2020,100,0.750191375350855,8.4
Armenia,2021,100,2.10305876380251,9.1
